"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111128391",6.00612202802078,-16.1584199451882,5.46197649996425,-4.40361131665258,1.06463616033217e-05,0.00273627747192549,0.00606032672138992,"BB vs. HB","BB"
"LOC111130714",1963.59455215321,5.94236436777783,3.42303612052557,4.07976341136497,4.50815596872041e-05,0.0102557502237059,0.029109099161893,"BB vs. HB","HB"
"LOC111134495",4.48717260204193,16.36885447413,3.85716061456953,4.8100647135502,1.50881438759587e-06,0.000483812110628241,0.000917311436108051,"BB vs. HB","HB"
"LOC111132722",51.9985906091238,4.94968717815198,4.31592876484221,3.81160957543433,0.000138064827822112,0.0254016649614355,0.0655533973480963,"BB vs. HB","HB"
"LOC111133005",4.74451078031693,15.5294927662424,2.38577362922683,6.60071013955785,4.09192917588201e-11,4.17488374008398e-08,5.28775158209223e-08,"BB vs. HB","HB"
"LOC111137210",4.4079246824734,13.9129148274064,3.29955838277093,4.78133475501142,1.74135109664552e-06,0.00054764085130033,0.00106715096117007,"BB vs. HB","HB"
"LOC111137246",11.8148042072707,-14.7112080272173,5.39566506969485,-4.32800487431981,1.50466140431049e-05,0.00373744486774153,0.00749194719485082,"BB vs. HB","BB"
"LOC111137563",232.275264335731,2.04503863558558,1.23433655084624,4.27893693700583,1.87788054399056e-05,0.00454865899536822,0.0353588033328329,"BB vs. HB","HB"
"LOC111134413",16.9712495174533,-2.18898318240377,2.05335343875411,-3.93728432663579,8.24089419633121e-05,0.016417909271969,0.0774019182637155,"BB vs. HB","BB"
"LOC111099037",9.06248541999132,-20.6061999994809,3.68738071879987,-5.78790466686604,7.12698379263791e-09,3.84222290027747e-06,1.13751370899166e-05,"BB vs. HB","BB"
"LOC111132233",5.41803057592958,-21.3751662704417,2.99573449756738,-7.29519890753531,2.98218172465301e-13,5.02035382436712e-10,3.38750073557684e-10,"BB vs. HB","BB"
"LOC111135744",232.736442414044,1.80589645871261,1.04431727981951,4.33691171628685,1.44498628616041e-05,0.00363068979617424,0.0311511599764887,"BB vs. HB","HB"
"LOC111137040",68.310046015564,-5.64661025420061,1.02880235636578,-5.5364815386894,3.08608351759302e-08,1.38540461271786e-05,4.0208070356324e-05,"BB vs. HB","BB"
"LOC111133715",13.6358998556329,-4.18649246613518,3.41941609732197,-3.89503880120692,9.81830114476052e-05,0.0193317182013416,0.0560673182517063,"BB vs. HB","BB"
"LOC111138067",13.4432261904163,-2.52530940262195,2.56887167298073,-3.83618966378751,0.000124957920490552,0.0232442443369967,0.0846110676348079,"BB vs. HB","BB"
"LOC111133377",633.111958234241,4.2044861257009,3.48388451269084,3.88314581300025,0.000103113690331946,0.0200678314438515,0.059149261530172,"BB vs. HB","HB"
"LOC111137667",285.962220832755,-3.59734022138706,2.58427417557719,-4.02452094543764,5.70914129560524e-05,0.0123218639924188,0.046378318984757,"BB vs. HB","BB"
"LOC111138417",7.75019517546928,13.8748399732641,2.86219355605349,5.08901389093225,3.59930250452981e-07,0.000133170237390126,0.000234321428004407,"BB vs. HB","HB"
"LOC111132404",22.1949152088235,15.8016831100511,3.18046948332958,5.18791351615051,2.12663317861841e-07,8.28091583146968e-05,0.00016420459624085,"BB vs. HB","HB"
"LOC111135979",36.9380685108657,-19.3055929229319,4.83183648898767,-4.75405809655304,1.99373705410531e-06,0.000604748944816863,0.00133499079673253,"BB vs. HB","BB"
"LOC111135072",6.84749534200554,-15.344350157133,3.48456488628296,-4.86828353934066,1.12571736942656e-06,0.000379017781112228,0.000673165379537602,"BB vs. HB","BB"
"LOC111132505",17.6637024541747,-22.6186945628424,3.83852377562675,-6.11559783894347,9.61956411062309e-10,6.47762208081138e-07,1.69082114259435e-06,"BB vs. HB","BB"
"LOC111137804",6.74275488350052,1.32167766492653,1.91177048579036,3.6881794802792,0.00022586431273226,0.0376466611157548,0.140332839110675,"BB vs. HB","HB"
"LOC111138424",8.21418574220879,18.2942602267356,3.56724386940755,5.34303425981951,9.14034795387485e-08,3.84682969073765e-05,7.53370789746025e-05,"BB vs. HB","HB"
"LOC111132298",15.8232774956444,-16.1824259976368,4.28607905796307,-4.64108810450122,3.46579302869234e-06,0.00101469378680906,0.00192281550961871,"BB vs. HB","BB"
"LOC111132553",21.9560577743471,-1.38911808151478,1.72140578877306,-3.81742586424563,0.000134851289195102,0.0249467475599444,0.115834664483603,"BB vs. HB","BB"
"LOC111138469",30.1618387119822,17.6670192300105,3.12314934850112,5.8004580323282,6.61340246970454e-09,3.65027291397512e-06,8.09461130021324e-06,"BB vs. HB","HB"
"LOC111132574",31.1332804091036,-24.2643392526059,2.62817090733097,-9.39051153634864,5.97095566614429e-21,6.70120354411374e-17,7.40148683083438e-17,"BB vs. HB","BB"
"LOC111132581",3.82679845162108,-22.3464830846862,3.70557719682048,-6.24182027318805,4.32507754588615e-10,3.38653571842885e-07,1.13373856846862e-06,"BB vs. HB","BB"
"LOC111099074",18.6545400130557,-14.2659368168924,9.07955905324163,-3.98757844773015,6.67511356713646e-05,0.0139931463485564,0.0364515824960302,"BB vs. HB","BB"
"LOC111134919",2.724738312253,-27.0691853703187,3.65693241305065,-7.65368100140314,1.95306411948852e-14,3.46093241258205e-11,5.81166227477342e-11,"BB vs. HB","BB"
"LOC111132641",12.5116607285561,13.5601556949749,3.07526639085345,4.85926156818267,1.17824383545147e-06,0.000392775165305106,0.000727964320012593,"BB vs. HB","HB"
"LOC111133977",6.93660336773889,-19.6334244089114,4.72562188344138,-4.81815087800492,1.44894788092635e-06,0.000469082944258744,0.00114116105709242,"BB vs. HB","BB"
"LOC111138373",56.1154989876115,-4.59985999856312,2.41345564197597,-4.19562983293755,2.72114355429717e-05,0.00640686589717701,0.0203159594625475,"BB vs. HB","BB"
"LOC111132212",26.771741028623,14.4713787676295,3.21870253822272,4.90386536279251,9.39689100095117e-07,0.000322840737868393,0.000570016596274691,"BB vs. HB","HB"
"LOC111133393",251.84213768248,3.29618238676904,3.09366336628201,3.83907482639537,0.000123498792012202,0.0232077346465905,0.0740197251989747,"BB vs. HB","HB"
"LOC111132791",37.768093793424,1.7945838432164,2.08305611951693,3.80901610499106,0.000139520871085318,0.025530044611802,0.103828148001298,"BB vs. HB","HB"
"LOC111101752",74.0510637731983,1.01282100513778,1.31225624669945,3.86046183695602,0.000113172916204153,0.021541034831531,0.125927287842268,"BB vs. HB","HB"
"LOC111102262",81.4959391174118,1.32395150689674,1.46897525641241,3.92573034290135,8.6466980203529e-05,0.0171250397439566,0.0959531004882213,"BB vs. HB","HB"
"LOC111100107",112.164599740928,-24.4783883688207,2.83064652414479,-8.82013397250785,1.14322855712527e-18,4.87373382106586e-15,9.16577960563602e-15,"BB vs. HB","BB"
"LOC111099431",148.045327966859,20.4614825113591,3.77212524255809,5.6347055112003,1.75357731813603e-08,8.43445638918888e-06,2.65689578553918e-05,"BB vs. HB","HB"
"LOC111101919",2201.61365684554,-26.2532489766172,4.54293589100371,-6.09265317091685,1.11054498289499e-09,7.33155667237085e-07,2.24005273347034e-06,"BB vs. HB","BB"
"LOC111099695",53.4304346359408,-22.3848356627924,2.8044602440865,-8.13807234132894,4.01620862602736e-16,9.65869487355109e-13,1.61890517309598e-12,"BB vs. HB","BB"
"LOC111099568",28.5766391353189,-21.2864645816387,2.42317814012823,-8.91191384789943,5.01591043567739e-19,2.81467814098037e-15,3.56416339879798e-15,"BB vs. HB","BB"
"LOC111099809",2.8359314196644,10.906409047582,8.22687346697556,3.85056991715624,0.000117843281811621,0.0222902553669409,0.0491012952702402,"BB vs. HB","HB"
