"","MEgrey60","MElightcyan","MEblue","MEyellow","MEblack","MEmagenta","MEpink","MEcyan","MEred","MEbrown","MEgreen","MEsalmon","MEturquoise","MEmidnightblue","MEpurple"
"H1_B2_B13",-0.135213704134678,-0.191616598142184,-0.14184625695934,-0.0269899965909598,0.147259871710014,0.0148771902030232,-0.0162691552224912,-0.0456558039143213,0.190077133220138,-0.00245470712927549,0.00740888887741954,0.0266078890485201,0.142704280009483,0.197012347962447,0.135886798022189
"H1_B6_B61",0.150127048248991,0.0171501026595149,-0.0856257553320311,-0.0417031384152001,0.134568278828431,0.0211113384453263,-0.0160985099920102,-0.0333286511451647,0.0487930895168699,0.028127201868582,0.118175418080023,0.126492026340559,-0.0766203038191345,-0.00143930420851859,-0.0528618615045773
"H1_C6_B62",-0.0513697553757046,-0.107818438695159,0.118882162046222,-0.00193118453846801,0.0919119983102641,0.21991661689647,-0.0338006687778165,-0.025950082900144,-0.0692656163177889,-0.192826949881492,-7.17637406285436e-05,0.0308908193156469,-0.0798473353457629,-0.130441916178311,-0.0728111937832164
"H1_W4_B38",-0.0880151182853463,0.0606031245192883,0.0245395169547069,0.0779442679771474,-0.136645008145744,-0.130184508967282,-0.0460411129442419,-0.0399070020305443,-0.0608212118925152,0.0662432090787596,-0.0839617120722796,-0.110093606131602,0.158948442708703,0.0127883801669443,0.122822159323762
"H1_W5_B49",0.120720946274619,-0.123564603622399,0.0107808268871007,-0.239636495625168,0.11225193736098,0.381572055821985,-0.0632843438790751,-0.0654894314341214,-0.113478845527946,-0.204151892663119,0.108747754132518,0.147757199803619,-0.116237115904498,-0.145538364234441,-0.114682441280627
"H2_B5_B51",-0.0601700100158939,-0.110710239875052,0.195452147886926,0.119080739650883,0.140328349862662,0.398809000691614,-0.00683698507108904,0.0247074836361524,-0.0723080261556308,-0.280778218700152,-0.120481317736077,0.000467433134875078,-0.0701005719964262,-0.132792493484706,-0.073703531726942
"H2_C1_B04",0.109656977829921,0.201506609073337,0.133864845493034,0.000192465407673427,-0.202566915238199,-0.109884374370366,-0.0569075628524903,-0.0402714124119993,-0.0881557111683362,0.0789075112569487,-0.0718823790876263,0.0375877294811292,-0.0895216396108165,-0.143153733588512,0.123006733908029
"H2_H1_B03",-0.0132570248878925,0.101431731048539,0.116967477850145,0.047002997719267,-0.0656646165226252,-0.0845369856968148,-0.0315038487049223,-0.0244761909266918,-0.0725136333580316,0.0138459714911055,-0.0579098108787932,0.060044139259957,-0.0936689292185937,-0.0709170144138489,-0.0618570896456628
"H2_W2_B16",-0.156562427734431,-0.0233905310977104,0.0151215540245876,0.0609283371604653,-0.0892131164348648,-0.0296742450879688,-0.0382083880420689,-0.0590135251751601,-0.0689623107872049,0.0734752545452536,-0.00437604144765678,-0.0218212946105195,0.0157344367031664,0.0269090957020398,0.182911447545027
"H3_B4_B41",-0.176870964098308,0.0753238436242725,0.0292006595421141,0.440151696620987,-0.0119278463524705,-0.117415791320025,-0.0277828514735033,-0.0665143167948864,-0.0834464919083278,-0.0191863371895509,-0.205758875148329,-0.202628940720162,0.133272049199544,0.196623438296058,0.112511910738543
"H3_C5_B54",-0.118544287496979,-0.0284755795505248,0.17218949928398,0.0596237298361572,0.00770789117933431,0.121691998176641,-0.0509141321291353,-0.0632572723342417,-0.0847338999623759,-0.18737141004146,-0.14335022902333,-0.0187225628330431,-0.0587964581166722,-0.0979369259776462,0.149589597486431
"H3_H4_B41",0.14981080592061,0.0450771190448278,-0.0258599308188598,-0.146966354622176,-0.0271593025218877,-0.0899829358854567,-0.0645878946061042,-0.0702584240044052,-0.10139208121381,0.036909835791274,0.0280143771850724,-0.0327720055091917,0.055038396801675,-0.00983563705745556,0.0571156586981901
"H3_H6_B66",0.0651686994829213,0.0493351568194529,-0.0716614765750424,-0.0482256948635982,-0.0385577745846725,-0.0871414114070298,-0.0168248176795863,-0.00795544800396139,-0.0524452682819604,0.130765260896235,0.0675656709340827,0.0916446279826636,-0.0831439659508934,0.0383575835807062,-0.066973665034189
"H3_W3_B30",-0.237946714745535,-0.339583329275643,-0.211311773031261,-0.0755232859403263,0.330051571831981,0.0787670401521943,-0.00358201685267198,0.0361566971070442,0.15544741959306,-0.0228735153500842,0.142325403914291,0.095908764922783,0.000294443505559332,0.176331655059977,-0.0298732150786663
"H3_W6_B66",-0.0117510471363107,0.0789366944964318,0.129556822174834,0.178575296479315,-0.0292922501425891,0.142779369069199,-0.0298925026315613,-0.0297225427972858,-0.0765166996908928,-0.116264311256008,-0.0706719758594139,-0.015382165596079,-0.0900606299348057,-0.0559514201866471,-0.0821138580136983
"H4_H2_B19",0.0986550121775563,0.0945911998921075,-0.101631948966466,-0.00278458116303282,0.0470366337479883,-0.0179155575659923,-0.0387190134422189,-0.0558897974948583,0.0866913001343138,0.00346390057866157,-0.00931939163748324,0.0223664779428826,0.000581324637110729,0.109640995507138,0.144879502374677
"H4_W1_B07",0.0958179599997276,0.0235705057368446,-0.10249166623995,-0.169566329698417,-0.0592102794647369,-0.0448901143880469,0.0119463168679442,-0.000398965025677855,0.138838366778748,0.134623160231518,0.203543093421318,0.151367910240286,-0.0780267380736817,-0.0939248714542386,-0.0429739745767629
"H5_B1_B09",0.016850144655747,-0.0469452546694261,-0.0493957023701133,-0.0861213025512367,0.0595764285945988,-0.0612748863721272,0.235132364550538,-0.0194806639381577,-0.0296853833447743,0.0495183795219616,0.12857094205491,0.163035082620513,-0.0725645366867347,-0.0710264569530859,-0.0670880034236513
"H5_B3_B34",-0.00849307484053639,-0.114851059807865,-0.159844264596837,-0.059477135778814,0.083050763711443,-0.0570101690918119,-0.0262011256319204,-0.0577931307989525,-0.0445596418899027,0.0410508257504109,0.0830891420719535,0.083706320675378,0.0522354551106348,0.158517156798025,0.191433192110364
