"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"35109","LOC111115732",324.848123821766,0.00743418880046062,0.148246238333384,0.139032299647842,0.88942462548077,0.984887634605891,0.988191585984688,232.711604746723,278.130238005446,266.838425110142,204.709380089485,532.054594946481,308.570624739494,407.085030328359,162.655364308393,271.087926244289,466.963591333611,139.09300207734,348.715787658512,205.704465527915,147.806321108411,603.115479134791,584.795107373585,251.787554966488,293.725721751752,136.678471701431,219.992935880742,547.01198114251,409.529154537477,452.744085187255
"35110","LOC111113993",0,0,1.13219020531654,NA,NA,NA,0.991051677124204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35111","LOC111113994",0.298492955373564,-0.00896884001029309,0.279499402871762,-0.51558886805808,0.606141586831282,NA,0.968407079463244,0.852423460610706,0,0,0,0,0.871668431467496,0,0,0,0,0,0,0,0,0,0,0,0,2.3565253741626,2.78472070735116,0,0,0
"35112","LOC111113995",0.187545431602363,-0.00100868883343004,0.263586990434914,-0.0604945827209535,0.951761730312285,NA,0.975595708525283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9055781331273,0,0,1.47972655794333,0,0.928240235783721,0,0,0
"35113","LOC111113996",0.573598416688009,0.0141698239380763,0.30026211132295,0.770511725298876,0.440996402415089,NA,0.963873234019943,0,0,0,0,0,0,0,2.09877889430184,1.53590893056254,0,0,0,0,0,0.95278906656365,2.0483191151439,6.55696757725228,0,0,0,0,0,0
"35114","LOC111113997",0.565612344455522,-0.00828966523189223,0.276351547255734,-0.479293281604119,0.631730000990799,NA,0.969023528817684,0,0,0,0,2.08240545967311,0,0,0,0,0,0,0,0,0,0,2.0483191151439,0,8.87835934766,0,0,0,0,0
"35115","LOC111112161",14583.2189703398,0.00818701267048313,0.122997097099813,0.118071311973005,0.906011154152011,0.98765542035788,0.990296191711165,7011.18296352306,11327.1396930163,17301.000459414,12798.8353628475,19209.1491627546,12972.1695970993,16148.4203872886,13800.5206194818,15780.6963070648,13044.5414491653,13816.9930336281,11875.0004422641,20442.8918187087,13333.1495179174,14840.6425007954,16486.9205577933,14935.4607474652,9998.5123520231,14307.6438092282,15992.6510223177,20821.2152420833,16088.3627280133,13080.9365439227
"35116","LOC111112162",2.82118720919806,0.0804754094451552,0.338466268771806,2.0471290134122,0.0406454189577569,0.494225822757089,0.869526700787728,3.40969384244282,1.90500163017429,5.01890454752618,2.24955362735697,1.04120272983656,1.74333686293499,1.07127639560094,4.19755778860369,2.30386339584381,2.76719165234732,1.26448183706673,0,1.79654555046214,10.193539386787,20.9613594644003,0,0,2.219589836915,0,0,2.74420726325674,0,0
"35117","LOC111112163",56.2146120884729,0.109008102092843,0.207595161827933,1.84418274323882,0.0651565124200711,0.569136289972709,0.949235106669577,39.2114791880925,64.7700554259258,135.510422783207,58.4883943112813,116.614705741694,40.9684162789723,50.3499905932444,26.234736178773,17.6629527014692,80.9403558311592,39.1989369490685,44.2034097031917,162.587372316824,71.3547757075088,20.0085703978367,87.053562393616,19.6709027317568,31.8141209957817,40.0609313607642,35.2731289597814,33.8452229134998,24.7300214092679,52.3836131621617
"35118","LOC111114802",304.240215940037,0.0349529208826681,0.201455537386937,1.11672044986663,0.264113871269098,0.789246241490309,0.965039956429303,1189.98315101255,278.130238005446,434.971727452269,1.12477681367849,17.7004464072215,579.659506925885,292.458455999058,52.4694723575461,0.767954465281271,231.060502971002,8.85137285946708,659.121953574258,47.6084570872467,24.209656043619,584.059697803518,1167.54189563203,270.147064182794,30.3343944378383,12.9608895578943,77.0439395700488,258.870218500552,324.457880889595,453.991314072068
