"","MEyellow","MEgreen","MEgreenyellow","MEpink","MEblue","MEturquoise","MEbrown","MEpurple","MEred","MEblack","MEmagenta"
"B4_Nu_O32",0.0924508102547833,-0.0412933884412013,-0.118839971496793,-0.103426833028413,-0.0244375444331374,-0.140364685645567,0.133490127451534,0.0637954767036823,0.13138950256819,-0.0446336632322309,-0.00695617493477293
"B4_W2_O19",0.0900445879106336,0.130086279913262,0.0679995096098075,0.0311743907995298,-0.00587078209819314,-0.0389222103008404,0.0146669526640646,-0.0879115609557856,-0.0317506610406469,0.0859143036061886,-0.0292598310687251
"B4_W6_O67",-0.0884931193983975,-0.201226725494549,-0.127181748030152,0.00991035567499487,0.0729046624573618,0.0157821953420702,-0.0569820797170277,0.175643229309831,0.0429134448022889,-0.0565381721046104,-0.0272972585730995
"B5_B6_O69",-0.0567761693006072,0.0623675685168052,0.050979688009966,0.0550122457090526,0.0917373342164622,0.0158891639849635,0.0954936747234074,-0.0209367212962458,-0.0130788962657224,0.184377177849959,0.0190510691878306
"B5_H2_O21",0.0361070923314959,0.0782860331160942,0.0528240751809418,0.07156921217142,-0.0205551376871943,-0.0698598943522429,-0.0423004937108246,-0.0952835481600261,0.00378880602752238,-0.0591742539599653,-0.0274977201062019
"B5_Nu_O36",0.264970987331524,0.0643306468576166,-0.150645966902562,-0.191537586735734,-0.207407417662623,-0.257321004103909,-0.0716560929786149,0.0483260547865766,0.288576748122849,-0.0516557506210229,-0.0364490787104955
"B5_W3_O33",0.111214082193926,0.114430240318385,-0.00772377101634177,-0.00194334997474176,-0.0903121010991647,-0.160461086819298,-0.0549246619387016,-0.0308820248029258,0.0886195829430386,0.201287553742932,0.0135916628797811
"B6_C2_O24",-0.0511495015775094,0.0642814738312968,0.123597921438165,0.14679948250477,0.0148654882024147,0.11911121347729,-0.097646836580468,-0.0831980535522342,-0.112185015464715,-0.0695743819515074,-0.0372337867529013
"B6_H3_O35",-0.0372905915183952,-0.0695035200443969,-0.0539547211846854,0.0696033660643606,-0.0207155381020595,0.0394009527691465,-0.0804674328899259,0.0955882811658477,-0.00871655340003653,-0.0698876604605565,-0.0406409522393165
"B6_H6_O72",0.0884668174236815,-0.0212839107054008,-0.0343661654997065,0.0781619251596642,-0.0760770005329878,-0.0453069937604431,-0.0637082548268794,0.0277376392431153,0.0144647859993377,0.22681857175166,0.0139232713971987
"B6_Nu_O47",0.296224361720966,0.106954016805388,-0.0404549062296317,-0.183769223642215,-0.185434112727885,-0.186583463965579,-0.0635193105480151,-0.0998931583761839,0.0978627130334083,-0.0593700523278602,-0.0273387391552391
"C_W5_W52",-0.0426097532260121,0.0308063857805195,0.0837262233205785,0.0169644270033755,0.0491118503006987,0.0950268363278103,-0.0601760294586754,-0.0327923473575898,-0.0673546955947211,0.16515977725375,0.0924596497423526
"C1_H2_W13",0.0401274972796179,0.0708393326062726,0.0662259277051703,0.0301197922657419,-0.062806517643276,-0.0154723646507174,-0.0847827934449165,-0.064265039057154,-0.00892781191386619,-0.0575217438248145,-0.0363471012796634
"C1_H6_W62",-0.0564748271876133,-0.138769851658526,-0.100476507312714,0.103591655523042,0.111316084137457,0.0356445673567276,-0.0446391492092515,0.0724788692829516,0.0232557733669686,-0.0210060220110263,0.424060522695749
"C1_Nu_W01",0.0807310536613172,0.0197562425546347,0.0292264644269217,-0.206955498483365,-0.193985960920949,0.0571617117938734,0.117871456371754,-0.0545597841171769,-0.0744901800707148,-0.060600659535344,-0.0412987305828159
"C1_Nu_W05",0.0658756015008355,0.033172899791508,-0.0509519161623849,-0.163490793667812,-0.0351678927441467,-0.131703537645188,0.031594308490614,-0.00595704491341192,0.142264682110489,0.121754227937301,-0.0015788658690945
"C2_B2_W16",0.00963215458103455,0.0844912813687605,0.0596293049935499,0.0736389271027107,0.111656307918512,-0.0193576385431926,-0.0523929914339123,-0.0555452949833635,-0.0290746360372983,-0.056106826903307,-0.0330928174135785
