"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"16","LOC111105834","GO:0005524;GO:0008094;GO:0016887","blue",0.487540975254812,0.37007379122987,0.0182851445884784,0.0821824709593556,"Growth"
"17","LOC111105880","GO:0006886;GO:0006890;GO:0006891;GO:0030126","blue",0.425856908187315,0.330918737678348,0.0427563746873701,0.122987147771505,"Growth"
"18","LOC111106015","GO:0005615;GO:0005783;GO:0031175;GO:0071542","blue",0.433681802699754,0.377911638052349,0.0386924963869552,0.0754141982983614,"Growth"
"19","LOC111106209","GO:0006629;GO:0030729","blue",0.433395241691459,0.221624776491025,0.0388357502354344,0.309480595392557,"Growth"
"20","LOC111106300","GO:0000413;GO:0003755;GO:0006457;GO:0071013","blue",0.440139285150583,0.402184395032773,0.0355731344525707,0.0571086928959083,"Growth"
"21","LOC111106364","GO:0005198;GO:0005515;GO:0006606;GO:0030127;GO:0031080;GO:0032008;GO:0032527;GO:0090114","blue",0.520803099770715,0.3897295506916,0.0108337098409847,0.066016802440998,"Growth"
"22","LOC111107727","GO:0003873;GO:0004331;GO:0005524;GO:0005829;GO:0006000;GO:0006003","blue",0.58146740921142,0.273151267915835,0.00361279163144197,0.207279228290164,"Growth"
"23","LOC111110422","GO:0003676;GO:0005739;GO:0006479;GO:0008276","blue",0.539639565641615,0.22164383485871,0.00786894674598839,0.30943792233132,"Growth"
"24","LOC111111645","GO:0005515;GO:0008270","blue",0.757926758510985,0.284722008962432,2.79833352634574e-05,0.187911544694915,"Growth"
"25","LOC111112221","GO:0005829;GO:0061929","blue",0.471163378855516,0.308784840463406,0.0232449806381374,0.151684248049097,"Growth"
"26","LOC111112411","GO:0004379;GO:0005737;GO:0018008","blue",0.495747347074425,0.362110313146313,0.0161443177253736,0.0895163521630506,"Growth"
"27","LOC111112843","GO:0005515;GO:0042254","blue",0.449922841665244,0.373700896682453,0.0312290814121219,0.0789958333185162,"Growth"
"28","LOC111113171","GO:0005634;GO:0006338;GO:0019919;GO:0035241;GO:0035242;GO:0042054","blue",0.567812619200792,0.360785080746583,0.00470998361393747,0.0907826919831662,"Growth"
"29","LOC111114074","GO:0016020","blue",0.417075420538959,0.408595835098834,0.0477069534227473,0.0528999501362574,"Growth"
"30","LOC111114262","GO:0006281;GO:0031297;GO:0043596","blue",0.520312009512088,-0.0376015801429956,0.0109218283557636,0.864747350951079,"Growth"
