"","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"LOC144623503",9.77682649214814,7.40769891990101,8.56833100775475,8.51711378286809,7.78633377292952,6.86091758623773,8.26905641516801,8.64459852523517,9.12547529876775,9.81307833458668,9.49941508369066,9.96725405503491,8.93632589524231,10.0010147690374,8.0874710232355,9.2872293733638,9.1858313164951,7.14166802507708,9.21642333131114,9.74715871680178,9.30016654311572,7.57473832698746,8.26955193037288
"LOC111128841",7.23122174954938,7.03050543551836,7.0596177345133,7.69082925466107,6.82717067278955,7.22627497803415,7.06108069901256,7.36504678249711,6.98572807260893,8.50434272432803,8.99330913939427,8.23707223513162,6.82839795660405,7.12733469678628,6.98974170197548,7.19133225550623,7.12938499091615,7.54982202867374,7.49957822521764,6.78791915502699,7.19285186325685,6.94843409859972,7.35080119834062
"LOC111105593",7.81603686673658,7.36002771736115,7.68733098995467,6.70871892204688,7.42033099392292,7.65696433024751,6.61056854548488,6.39163003930787,5.92780585466418,6.9530256892831,6.34059318642792,7.22383919302579,6.50809921716466,6.47652421550745,7.82746707126686,7.93345703773195,6.71164865234642,6.349737858577,6.77131548789274,5.92780585466418,5.92780585466418,7.17780339813866,6.28617224492967
"LOC111102537",6.66606177281761,6.24052623504711,6.77896749918409,5.92780585466418,6.49587458866472,6.571069745515,7.00089252271256,6.63234252313659,6.684055176347,6.27214998586723,6.47249588083245,6.85057580432293,6.74311516790403,6.22236733062343,6.18346093930374,6.77815495325518,6.73846941709875,6.43135041791378,6.79376785948926,6.28326930783229,6.36149295375877,7.62388160511067,7.51840857727601
"LOC144623470",7.69153881410457,7.16840373715015,7.17810221562965,7.18366060138614,7.75590684835111,7.42045808002928,7.15804679075811,7.70539637497952,7.13435503338804,7.67196453004695,7.21114971456953,7.7003568625145,7.44258251970123,7.60260575519691,7.60525461839961,7.63259281226768,7.12938499091615,7.6546486491697,6.6995997486379,7.26014181078155,7.19285186325685,7.24744964945961,7.27035410380308
"LOC111104898",6.49207971047489,6.74580563963422,6.48601445590933,6.51657269160353,6.60862368735316,6.9189761964765,6.30896913078491,7.13896557507306,6.15819827719101,6.33485564235968,5.92780585466418,5.92780585466418,6.82839795660405,6.22236733062343,6.43713609764875,6.95420467749459,5.92780585466418,6.85842203889079,6.56043356965782,6.90130469722167,7.14779527993221,6.85124775703333,6.22066058080605
"LOC111103036",5.92780585466418,5.92780585466418,6.51051046584332,6.51657269160353,6.39262122106887,5.92780585466418,6.79077962711485,6.72447638012151,6.66704255037957,6.82642174104618,6.3889266407026,6.24598051072804,7.06644815343289,6.28825722110021,6.18346093930374,6.30326374828885,6.22719056771391,6.5628437880619,5.92780585466418,6.42925167961541,6.67347761951553,5.92780585466418,7.1207333164884
"LOC111104880",6.40984796384399,5.92780585466418,6.65819532330037,8.69881039586298,10.8749379689185,7.34146699605079,7.79109769030931,7.79772521876619,10.6224367821902,8.87429767207504,6.47249588083245,8.24200261799742,9.19580802787689,7.813581903622,7.32111912209296,7.920345803546,8.31880589272431,8.14579703622471,6.21253542515749,7.67144592946018,9.07384683295432,7.41346161376803,8.71868946212212
"LOC144623541",6.16966630094146,5.92780585466418,7.10438565395576,6.6061177649348,6.95014074064578,6.59326154901333,5.92780585466418,6.72447638012151,7.62887569901449,5.92780585466418,6.22018661781595,7.03511352696309,7.65362007739245,6.51391367984859,6.78331914843538,7.45318669493237,5.92780585466418,6.90830247490163,6.56043356965782,7.15079119249581,6.23504399528321,7.21321692256576,6.77102966372626
"LOC111103211",7.26036091467499,6.43683198541915,7.04808876718114,6.44784023409708,6.74746447479685,6.49899540586905,7.04639420116794,7.17811739710878,7.60355905528014,6.41363985740827,7.28213558110669,7.14023897579439,6.94848468096219,6.75117928382396,6.97551259744107,6.75821541614214,6.13969238355974,6.74831704611625,6.95390317571854,7.16227140083079,6.45797583688024,7.38420110598317,6.90390612020239
"LOC111103303",7.31632813554577,8.24252894828192,8.27755075026521,7.64635125999248,7.88037661830358,6.81452105584116,7.08978883626019,7.24018518725877,8.07586577708691,7.12780253610031,7.88598961776564,6.77878379242863,7.47637966189978,8.49082263375603,8.36622726748387,7.29714800594581,6.92492622092121,7.48347216021212,7.10485443169717,8.98920199569804,7.46357606848916,8.06446204452536,7.71290733788697
"LOC111102487",6.64677411172666,7.05709693448896,7.99857389125905,7.47079825209124,7.80867307391246,7.03699792959329,6.88477333720371,7.62271709132732,8.22875069179188,7.21277431982485,5.92780585466418,8.08545383210036,7.89332050218061,7.59207979646995,7.58140742698869,7.0591048294795,8.25566183988717,7.46279634340456,7.84104051124796,7.27046659902468,7.93204346189835,7.50583869707696,5.92780585466418
"LOC111103696",12.5158681457995,12.318239626188,11.8524586093444,12.8283107190107,13.1191496083226,12.8555689717001,12.5458964511399,12.3129718209999,12.6421996786092,12.7735059912699,11.6753096780896,12.3822464647705,11.6330630439684,10.9643443626784,12.5441606655412,13.049395234896,11.4099752715519,12.37708154044,11.8876045753151,12.153810164428,12.854512405541,13.178048895659,13.2620040987994
"LOC111103699",6.78806618618261,7.22525064751207,6.81014846888078,7.37180314253065,6.58237204119515,6.17266177024527,6.30896913078491,6.35151885555135,6.51182214645978,6.36275607256268,7.80126205583741,6.50601107555317,6.86008024503652,6.54894255537998,6.90070944755296,7.57288478108398,6.44452010729342,6.84546793922127,6.12930316413968,6.73381340082681,6.71286911339936,6.93298468601468,6.6675925944855
"LOC111103877",12.3520675584825,12.3778393601352,12.3374565171158,12.4119544060971,12.4695908903616,12.6808093866604,12.1062055045313,11.5753593608627,12.7469804132665,12.2405059809189,12.4565039479198,12.7219235344707,11.9619959381295,12.618321567399,12.4980562153376,12.5076570145402,12.8250433914137,11.7940680312988,12.5454318874128,12.214556317056,12.376731971655,11.8811527549249,12.6140379705713
"LOC111102878",11.8401276684727,11.1921981114225,11.7535462289279,11.3174992946887,12.438724754397,11.4485662681204,11.3894683064192,11.0778401965317,10.8652601105361,12.0022085588308,11.9929773279552,11.1738199166615,10.3255203474139,11.4109825610658,11.7527410315892,11.9289637506706,11.3515885721352,11.1467150070214,10.8992962742798,10.9265818385128,11.4908231367391,11.1021845908692,12.4049434186389
"LOC144623639",5.92780585466418,7.70969110570306,6.71245870574592,5.92780585466418,6.35242560204594,6.59326154901333,5.92780585466418,5.92780585466418,7.34672122273257,6.64443367958049,6.13472686275971,5.92780585466418,5.92780585466418,5.92780585466418,6.62214200490809,5.92780585466418,7.07790387715885,6.43135041791378,5.92780585466418,6.77031203168387,5.92780585466418,5.92780585466418,6.57825081070909
