"","MEgreen","MEred","MEblue","MEmidnightblue","MEcyan","MEbrown","MEyellow","MEturquoise","MEpink","MEblack","MEtan","MEsalmon","MEgreenyellow","MEmagenta"
"H4_H2_B19",0.143690140682236,0.00860508547186248,-0.0242960976899836,0.0279572182731633,0.136265306640128,-0.0140481131566365,-0.115375407345302,-0.00831228207256041,-0.0378258263019676,0.0878525445182688,-0.0637609206416731,0.124198444602253,-0.028149007389879,0.0453908500254721
"H4_W1_B07",-0.0399061324945773,0.109674235540329,0.212938133728865,0.120412934354444,0.00253546436793322,-0.169244689217757,-0.0834111845351865,-0.0822312582926975,0.0122855607224408,0.1303853333019,-0.00276599873999225,-0.084725372537462,-0.0568658801033811,-0.0806850464792704
"H5_B1_B09",-0.0749307011576977,0.00664208616234437,0.143857004524961,0.143520702816912,-0.0321871791740913,-0.0771105792249853,-0.0339684756171753,-0.0727231026039582,0.233625022600257,-0.036128642038275,-0.014646451247971,0.0119906167785407,-0.0716136626886503,0.0431498534698958
"H5_B3_B34",0.167960877599166,0.0110909173205596,0.0642002941850618,0.0847115282266544,-0.119487878110762,-0.0993635861731956,-0.16433466279885,0.0459893086985829,-0.026991870430647,-0.0468098171966245,-0.0756687369481416,0.181877210922204,-0.0837516796508059,0.0480194569839557
"H5_C2_B22",-0.0589549672280731,0.0741501510862359,-0.0968396933356449,-0.00352986732271206,0.202835207374756,0.100702305985231,0.117424845335638,-0.0732800548883984,-0.0368796255904049,-0.0539623114348328,0.240289903695343,-0.124519360016563,-0.0745214515913492,-0.130828808289619
"H5_C4_B46",-0.0872238303626155,-0.0328861885363696,0.0277566840357803,0.0622232988591854,0.100675879249976,-0.0382768077835007,0.0579507520311399,-0.0684000326270022,-0.0293835531473393,0.211482804313756,-0.0117719164824216,-0.0955366661845097,0.03154763320022,-0.0136559786186398
"H6_C3_B36",0.136852461477859,0.0553485357997424,-0.0897188371850324,-0.0889129330619483,0.0194965205651943,0.0264318569771109,0.083518901949221,0.11234055923706,0.00595589908998751,0.0074355196998782,-0.0681176275082699,-0.126035454232834,-0.088530654734485,-0.175201693939054
"H6_H3_B35",-0.077554423525742,-0.0204740589611838,-0.0605789207558071,0.0592464275966343,0.120094724082132,0.0565065720999563,0.0625257995374897,-0.0773571087675541,-0.0306035896718951,-0.0655886014696645,-0.00974636209548637,0.0152420359547004,-0.0136910343493039,0.0651540853178736
"W1_C1_G02",-0.0773383842072234,0.0517640535596738,0.0164948928711889,0.00749833854149336,-0.0123565659352232,-0.0420940694171442,0.0793693094668633,0.141786677261949,-0.0384500079407092,-0.0655199784548511,-0.005999262084922,-0.171801017521971,-0.0648759007039527,-0.15951959010444
"W1_C6_G61",0.132863296718951,-0.213169434882978,-0.206662710314194,-0.0492548293787375,-0.00883220568597451,0.11722494082182,0.123714924552597,0.00404742426648716,-0.00764028257597084,0.134522985747489,-0.052357724978712,0.000471581324256817,0.143867816565824,0.0710122727175301
