"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC111104541",20.7641055883391,0.030844532402623,0.188061147807207,0.300753045870797,0.763099261803445
"LOC111119833",614.280437787329,0.0518340322819206,0.186698696346381,0.175333500183313,0.653614616444432
"LOC111112009",18.6385326843396,0.0189404252197757,0.167000155116689,0.633507160887072,0.915111983173584
"LOC111118123",5.19151454982375,0.0849123178208803,0.422484107746027,0.0299756658803229,0.411344663214074
"LOC144625036",51.1795659194849,0.0660317262610297,0.172978089371564,0.185375491152734,0.664069709206493
"LOC144625946",19.255759929387,0.0876920929613677,0.219377736356995,0.0509815306029031,0.476270298994544
"LOC111105807",4313.69735211086,-0.0569649916360592,0.0850265588032307,0.418728356590964,0.827238162050478
"LOC111133651",1290.35241690796,-0.0186000620906605,0.101030386523684,0.806073877189799,0.958310497012847
"LOC111129787",9.81599183166838,0.0108508912339421,0.167779065514595,0.771487966874463,0.950616878839584
"LOC144625037",122.69139022832,0.00658734719362585,0.174724150314263,0.822364937804184,0.962306576726682
"LOC111119489",315.022163701979,-0.0443531715355406,0.176838403970233,0.264434270032869,0.738884497402627
"LOC111136481",180.120532227578,0.0213333096637805,0.161255102980264,0.646658363408143,0.918686424191868
"LOC111136460",796.875102739297,-0.0271036287923065,0.170776583890358,0.47659702491641,0.854310704517512
"LOC144625947",285.318888099638,0.00397456837694005,0.16750037371566,0.91445173110855,0.983894974346951
"LOC111100078",13.6924714933907,-0.0538463887263596,0.198587713560977,0.134911189290752,0.610899384187486
"LOC111113132",61.8726401585749,0.0197766644474831,0.1666524914301,0.623493027645012,0.910313141473049
"LOC144625948",17.9111702488957,-0.0180696333911836,0.176635000356246,0.553627750971285,0.883511080879092
"LOC144625949",229.77123698416,0.00812959239452997,0.176844764787766,0.770158652597723,0.949891943647625
"LOC111134153",2914.7592436799,0.0361344845536136,0.120109932892241,0.633871811041472,0.915274480918929
"LOC111129748",28925.7895753798,-0.0736202912373465,0.129095239247971,0.323336813191669,0.773009704238094
"LOC111101397",368.821971399367,-0.0799914871766916,0.164443197253577,0.173902196419675,0.653246217253781
"LOC111101405",870.174822481348,-0.0249939111986325,0.160251012947413,0.604396310477315,0.902990808724888
"LOC111101379",115.26709079449,0.0133406529212353,0.163500939711778,0.755119083965923,0.948204355570165
"LOC111101388",3049.63027235894,-0.0931836790163867,0.16461829604478,0.134083013640891,0.608996059220642
"LOC111103288",332.574794394927,-0.0866577253482238,0.152741443134231,0.189932261268762,0.670087133805304
"LOC111134776",5778.43273250367,0.0291050804368313,0.187231625392481,0.322234822508287,0.772444144144415
"LOC111119645",653.524882042265,0.00287610746751444,0.186250083959976,0.895770990608993,0.979317073795589
"LOC144625038",15.4748339060509,0.0880850060794356,0.245366082242745,0.0402910457972372,0.446099882730157
"LOC111137770",15336.0106278697,-0.0350438686100084,0.108184501995857,0.647809820588797,0.919323544644038
"LOC111105302",1849.1900912835,-0.0725306501230192,0.146198277294922,0.279594134623935,0.749935472537995
"LOC111123745",371.882975991481,0.137279197656453,0.151266574995965,0.0670220839114304,0.508767979069436
"LOC111100662",24.7682935742228,0.00157189484555231,0.167981088765072,0.965474291121545,0.993754308257994
"LOC111129522",37.5795166420029,0.0436595109796729,0.180519810869558,0.245014108070708,0.723665218033054
"LOC111099831",3438.92634333386,-0.0478761707241963,0.145912558026001,0.455126586226099,0.842559885949056
"LOC144625951",1797.63513311934,-0.00854678385050959,0.147079919502925,0.886860831282434,0.97780181150547
"LOC144625040",127.460757136756,-0.0177831435141081,0.152850204898829,0.746386857559279,0.946631107958695
"LOC144625952",659.888194424292,0.000338195996948002,0.187964616542305,0.987291021144927,0.997729887336016
"LOC111136873",1159.87858989318,0.0365952041382095,0.137557100663171,0.594253035422593,0.900373296029109
"LOC111136882",590.682803140912,0.0366959064031559,0.140624160672267,0.582410673922752,0.896202431819266
"LOC111100566",1361.28135313742,0.144448972659326,0.171696210899649,0.0452510216886072,0.462336563771221
"LOC144625953",2262.46286488342,-0.0688056436028406,0.143612280386898,0.311381926377631,0.76693670202205
"LOC111129446",3256.01760084316,0.0765014512367072,0.127239773804207,0.309103891186693,0.766122904855766
"LOC111114799",2799.49359734243,-0.144977944716388,0.11820560918185,0.0661597068238237,0.50689633421087
"LOC111112387",3517.79871039462,0.0231483487022993,0.159133875954792,0.637391578176056,0.916484371866841
"LOC111103245",40.4901773619127,0.070199440049304,0.235351628087331,0.0628102290980079,0.502152144233497
"LOC111103238",3258.04963657503,0.140279647190974,0.140970137099157,0.0689230931263043,0.51345336241747
"LOC111100985",1575.84100082398,-0.0393223480385169,0.143973265447883,0.542743787713286,0.879894252460538
"LOC111100789",3480.37433166437,0.0981771600132123,0.161694871988319,0.128731671953606,0.602437964602553
"LOC144625955",6.67972467196509,0.00857654984698319,0.202622314393474,0.655979644050843,0.922076750880955
"LOC111128103",5328.09451149156,-0.006866891823138,0.107341368123394,0.928558570693097,0.986096699621376
"LOC111131682",3804.79123607126,0.0946313002131558,0.134968175602081,0.201596055729842,0.681135551778622
"LOC144625958",50.1245183878624,-0.0251925804811154,0.170159014739767,0.508193736143323,0.86914758330459
"LOC111131766",180.704718947551,0.0477599054028911,0.161249754256473,0.361479547817767,0.796705652372332
"LOC144625959",55.2464012566108,-0.0282317404049666,0.176928120391185,0.402543571487802,0.822398518570303
