"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"16267","LOC111128766",5466.28187802258,0.00103101971719378,0.0440603443828331,0.925980842414201,0.993147605840628,4984.42687169769,6110.57504708363,4465.46283165295,7415.49554731053,6165.79283553802,5574.76362844783,5591.59772014539,6111.79685533059,5159.85451805896,5506.95430546254,4495.93304273935,3786.55982946422,5766.27633042838,5200.12893313018,4497.42475735566,6278.67724889032,5805.22999653667,6922.30156209278,4396.17147379112,3703.21836755774,5503.8746565256,5417.94477232423,6864.02206295505
"16268","LOC111130697",2126.71406029297,0.00122947387324137,0.0543405400844761,0.916367676030807,0.992512440045745,2164.23420336573,1753.53594709543,1963.86407832041,2523.23315835012,2547.47953473814,3129.70728060897,1556.84270557077,1911.39095146805,2410.73257220937,2830.1368557939,1279.53451551176,2537.91670328654,972.8435987125,1507.57900509945,2403.48205656254,2660.94840645558,1397.04379250441,2499.22056397635,2568.00168071294,1826.53724397845,1996.28619213693,2399.81506859864,2074.05727168132
"16269","LOC111131729",1652.3363195825,0.0248117365302354,0.0859588230559844,0.124450112418633,0.753699411362641,2159.08943109148,2062.70194650144,1054.49685879913,1691.67419987167,1466.02241782262,2447.69300098174,1390.15261492627,776.403408067264,1583.81784995749,1933.91523635264,1146.56328154681,1502.33569784553,1530.05065991537,1091.21216838701,1657.90428941515,1154.77075371699,936.624463524611,1306.54696150323,2001.8280818156,2124.61475049451,1996.28619213693,3398.24929482289,1590.78179090121
"16270","LOC111127983",2450.93211967385,0.00252436710411761,0.0643147882584418,0.815993626892013,0.987114473625696,2769.60240763522,4155.07617158365,3404.25477566178,902.378540107105,1695.48679626442,4167.66973452619,2824.11480495782,2292.18826332665,1573.70506407859,2718.63183315735,1379.89016378719,2918.45556078831,884.815773082731,2526.21346800448,2855.81201298101,1479.22609116171,1928.4992465268,1325.27613239633,2121.96155553121,4323.51673002729,1880.8138302595,3759.51177826785,2484.33801838527
"16271","LOC111131787",2482.5486746859,0.00191859059907217,0.040775311196755,0.857256420826616,0.990017830627905,2885.35978380573,2670.50507226869,2067.04873514801,2257.08860158435,2243.65170031983,3428.52797013637,2565.53145921442,2082.74974180442,2279.26635578362,2747.90190159944,2443.66003550677,2310.98077003679,2454.79658070645,2263.91509380643,2076.69282957377,2101.18520447427,2370.5018023474,2263.23301072319,2581.08552438494,3720.86158445433,2206.90778020135,2942.7012731162,2134.46670677884
"16272","LOC111129855",5918.19885835366,0.0157486343120495,0.0628683848958985,0.269391599672672,0.872139660371874,6780.8098574549,5288.36577931345,4940.28003298971,3827.68416189735,5617.62793148261,7802.73553418884,4377.75193186235,5979.5755664908,6557.75268916585,7011.57520466447,4364.21625437784,5516.82244716758,6982.33082881901,5776.93069775016,4672.7984480857,4596.27784737984,4288.47717849752,5378.26871366494,8396.25931642086,7697.08551872771,6455.36691839558,8273.30786262957,5536.2730207076
"16273","LOC111130373",1620.86042470082,0.0214561460035166,0.0680368869740036,0.17641528665262,0.807002915429963,1151.57152738517,2016.7577732151,1687.0271941488,2109.73818174408,1635.99603148321,1603.08511087637,1236.28483894673,1596.17539887398,1341.88889546988,1127.5945414121,1368.6001533562,1816.4784526061,1724.25637831507,1739.31834541034,2342.14918111597,1329.9559039667,1785.11151264452,1484.84866840562,2031.56409016105,1356.6705203114,1721.00008142115,1627.66613420255,1446.05085264675
"16274","LOC111131393",311.67246711361,0.0320506290184961,0.125671398369382,0.0461450765346171,0.615969843210747,343.842280328707,932.283849602045,239.925299615394,149.634922473457,240.087729295588,335.733833527837,170.964195532823,268.673658922459,247.3743007301,332.42434873521,104.118985085761,243.782705587071,105.27038941292,248.292150333101,169.623733656926,178.294945816268,172.328377418152,164.067537023628,423.440758839188,910.947146081781,423.090733918886,533.953890366448,230.310971309273
"16275","LOC111131643",1856.88438455754,-0.013524399298421,0.0608108093021857,0.322772998606968,0.901735652841004,1849.54563259107,2006.22890017031,1661.02130502965,1637.98838799188,2193.72195130703,1981.88427907139,1845.34478553241,1707.24128149941,2133.01991384256,1876.07200585993,2304.4165735246,2097.91864930012,2065.47764055005,1637.45489911984,2451.39836550517,1391.11521677577,1536.48507499543,2744.19811925821,2088.65722618431,1681.67714735383,1243.40639269612,1280.29836165933,1293.7687350051
"16276","LOC111128070",1848.0235194368,0.0122992935452222,0.0653923899274472,0.352724466972702,0.910701881607569,1997.02910445276,1305.58025755358,2282.64594494226,2004.65106061768,1385.28495133383,1427.30823468379,1299.32788604945,1676.56594248857,1516.13997522945,1931.8245171782,2338.28660481756,2141.52206005553,2236.99577502455,1466.83362658324,2056.56797981786,1059.40368967573,2349.45406159404,2986.92817403289,2001.8280818156,1881.32407539418,2596.74247389954,962.704969619803,1599.59150018626
"16277","LOC111129175",6209.95794449523,-0.00440175812609829,0.0655881014580526,0.686859837499459,0.975727361153189,6746.5113756266,3655.43328709467,12622.0841189273,5646.14825791066,3385.66191710194,8271.18090924208,6291.48239560788,8393.40741555006,6895.36415620001,2940.94497203897,7063.78319298696,2744.04191776667,7481.45767517337,10745.3202905694,3318.68355736685,3900.72023899196,6903.65896710275,8493.30441660669,9241.95139376542,6495.4895890337,4837.83007321661,3497.49722983524,3257.07537567431
"16278","LOC111130138",16066.1818051331,-0.02010724914339,0.0819649122170441,0.164201541857085,0.796067647401492,16753.9509110788,14894.5266772663,19173.0514780064,31042.964031001,15534.5259534928,9953.36561440512,20132.102550212,28108.1304667185,13384.6610640317,9769.23379574461,20574.162342067,9501.5795982473,23708.5252018322,15191.6597211499,14578.0578327071,19519.1501727926,12215.5825397325,20217.7653956924,16234.6711162811,11125.4411388439,11504.7423585716,6241.70263292674,10162.6289252589
"16279","LOC111118489",54.9252095530637,-0.0182707634357992,0.0928910827159762,0.139986142109327,0.767733100799594,29.1537095540549,38.2868110719526,64.5952729733753,42.263298713877,55.2414244396928,87.8884380962924,64.1115733248086,101.545949828961,76.2348473948106,48.0865410120116,40.1422593101728,83.2428750785121,47.1901745644123,56.0248954597767,12.4582403250849,66.3423054200067,89.4528982017887,68.1741820509137,70.1769796952587,11.1430843557404,31.4084824306597,29.7743805037053,50.3411959145952
