"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC111136153",250.327055183428,0.000860793370219229,0.0309244425248693,0.702622361342978,0.995112515406243
"LOC111138181",1101.52761545983,0.00130449338164271,0.0255799797635275,0.572442701169367,0.991140231518978
"LOC111138180",5036.58834258619,5.9274524316744e-05,0.0249066316428651,0.978299779226855,0.999428646099447
"LOC111138178",607.027562429482,0.00332257506123663,0.0318756114632336,0.228928036850663,0.913508847679
"LOC111138176",1496.81714238208,-0.00207572019203884,0.0376671987779447,0.419255053517369,0.973207819788254
"LOC111137875",848.529754193138,-0.00430404013788198,0.0512749961625964,0.194070123817923,0.89705719562473
"LOC111135560",1492.17282853653,-0.00180755055598388,0.0253848337040488,0.459542848527217,0.979586177503559
"LOC111135559",1450.88041398813,-0.000979496483156196,0.0297430942883243,0.661611290065038,0.995112515406243
"LOC111137949",3457.22381780204,0.00259345889881295,0.0349728722019746,0.316010981680417,0.959885114923566
"LOC111136239",1986.89174724022,-0.00163463980526944,0.0234612441543418,0.514649379783338,0.987709584665747
"LOC111136813",27.1636499338348,0.00289081497838499,0.063716940046134,0.471900443850541,0.979791834088432
"LOC111135831",38.404438209011,0.00251233719031372,0.0630599716543354,0.534650334897982,0.990487201237029
"LOC111135833",295.583837129614,5.507892044608e-05,0.0318866910239698,0.98061542646112,0.999428646099447
"LOC111135832",279.63353977126,0.00399145958211705,0.0378155261895031,0.177926020508035,0.876227663314493
"LOC111138394",5.88973286878773,-0.0085249130085827,0.197581792483342,0.583111971856233,0.992028789656087
"LOC111138343",168.672830626471,0.00196789081303965,0.036690481122178,0.436106572401251,0.974834472621747
"LOC144626913",1483.20308287838,0.0002151649604526,0.0369229434167359,0.931828314188925,0.997763764827644
"LOC111137781",12073.7646559489,0.00662522062311484,0.0443887870341326,0.0790545414707167,0.734499215545964
"LOC111134685",1701.85603077102,-0.00116716952685664,0.147869320565115,0.92210776328869,0.997763764827644
"LOC111134684",1234.53988622554,0.00138971987748432,0.0238007655283257,0.565592623690982,0.990487201237029
"LOC111138040",20201.2889222327,-0.00126852035170991,0.038855855961871,0.624636731852973,0.992818202491157
"LOC111137194",34.6871969523625,-0.00333489319958166,0.0622164158990964,0.38464096469661,0.968873840625943
"LOC144626914",9504.35568018632,0.00206527984331509,0.0243679937252618,0.422043620031963,0.974091434398607
"LOC111133445",495.576113105359,0.00135449841978333,0.0240788596563213,0.571233306342093,0.991140231518978
"LOC144626915",61.0330205391986,0.00238874102938577,0.0685244346550614,0.596949291680666,0.992028789656087
"LOC111137890",1057.57615619323,0.000194942063575236,0.0262132175665793,0.927927025372031,0.997763764827644
"LOC111137187",415.935627412575,0.00223214600054542,0.0398736384803923,0.401740049234093,0.972750808763138
"LOC111135164",122.836888568537,0.00973127250046125,0.147859137242886,0.330180463797669,0.962429522706271
"LOC111135163",8020.73893080247,-0.000864660521884631,0.0237625208005235,0.708053775225731,0.995112515406243
"LOC111133518",316.262179483825,-0.00141951376355479,0.0245499539415187,0.551104022186898,0.990487201237029
"LOC111132487",67.1113542510789,-0.0145440456390564,0.141657816612882,0.102276179826542,0.791183929069564
"LOC111099120",1616.42351899572,0.000324640174742209,0.0249082216562931,0.882109374142314,0.997763764827644
"LOC111133254",814.218676477241,3.79161941413412e-05,0.0267407174724346,0.985923628173969,0.999428646099447
"LOC111132981",437.409293413705,-0.000412324805223605,0.0290273338023695,0.850204319823173,0.997763764827644
"LOC111136256",597.935319983434,0.0722193371418044,0.34370167658387,0.0171136137570426,0.412973631086779
"LOC111134317",15159.7586655083,-0.000714515638694777,0.0236114632013252,0.755524285719767,0.996753837489976
"LOC144626805",38.5901855814042,-0.00521276514646847,0.103522340561951,0.449623895143352,0.977243202209293
"LOC144627098",10.9627191317643,-0.000251990877781253,0.0648788763335571,0.95572025082507,0.997763764827644
"LOC111132135",46.6714573169147,-0.656718377755259,1.35999304893684,0.00332353111859179,0.165803506518319
"LOC111134360",1252.74753080042,0.00145182414892029,0.0246854871101626,0.542256599479388,0.990487201237029
"LOC111134369",1023.10214977451,0.000969723060886336,0.0247460059644665,0.669968242806316,0.995112515406243
"LOC144626749",33.0335791106982,0.000546289635914537,0.0402604802921455,0.839894408471983,0.997763764827644
"LOC111134355",71.2625605477688,-0.0324277956506687,0.245304550686088,0.0625985239808665,0.692301044044487
"LOC111134387",5.94186044401631,-0.105689677901725,0.687243776407285,0.0606704901830965,0.685103791396211
"LOC111134386",1064.03924565471,0.0046229480596842,0.0555983987713964,0.187889532035011,0.890394508616148
"LOC111134367",1075.04603343429,-0.0010603646691693,0.0222324926270001,0.669267348702223,0.995112515406243
"LOC111134358",543.191078374856,0.00383482826723977,0.0567019644772346,0.27147173115797,0.940146723049737
"LOC111134362",439.003457798295,0.000193068485778951,0.0260839037425251,0.928662606931234,0.997763764827644
"LOC111134381",622.838727774764,-0.000347843092398843,0.0247425863806895,0.874174583293594,0.997763764827644
"LOC111134373",1582.61747213961,-0.00176149220610458,0.0362906564981214,0.48005516859027,0.982301546072267
"LOC144626921",10.236727226728,0.022405471000227,0.256909404673109,0.226686789802577,0.913341392769569
"LOC144626210",3.812430674507,-0.00621525604682329,0.199019001745494,0.699223783315286,NA
"LOC144626920",46.1889833247731,0.0229324932428306,0.257633672070241,0.215729926843037,0.908127972993098
"LOC111134366",2364.0807680698,-0.00334314973204141,0.027964728899198,0.238258570353338,0.920340691103212
"LOC111134374",646.23939778605,-3.12024475061308e-05,0.0257967747075401,0.988460454527701,0.999428646099447
"LOC111134365",1337.4399562749,-0.00262511985767002,0.0267629597267693,0.319579217028413,0.959885114923566
"LOC111134378",284.489465350248,-0.000592829580346437,0.0272138406883738,0.785215777092696,0.996753837489976
"LOC111134375",5045.94683482651,0.000289334665935447,0.0247159451434632,0.89507521829574,0.997763764827644
"LOC111134359",1086.37755523151,0.00639989302816831,0.0615954270913663,0.111058412526753,0.797392629499664
"LOC111133404",1147.77584277181,0.00144671993002092,0.020594200746734,0.611252339494968,0.992028789656087
"LOC111136777",4640.54322429031,-0.00188912827499486,0.0226277159134713,0.477421203827853,0.981050415547987
"LOC111136960",335.509011343659,-0.00463366340012083,0.0620316002063369,0.220482993858288,0.911213260579754
"LOC111138274",4008.75208955442,-0.00187856371485381,0.0258013875280924,0.442689707067194,0.976145579041814
"LOC111138275",345.536822335863,0.000816777799183311,0.0330918314248988,0.725425874094497,0.996461873018655
"LOC111132216",6396.63395622371,0.000760759031550082,0.022992975368386,0.746060201808174,0.996753837489976
"LOC111136514",1180.00185482282,0.00614732835847055,0.0421119296281287,0.0892887582426195,0.760381810180782
"LOC111132184",1267.53061282963,-0.00102258388650788,0.0256284034831798,0.650006885675394,0.995112515406243
"LOC111138379",749.66723355418,0.00114712461525105,0.0306024045176228,0.613622850027665,0.992028789656087
